key,name,level,basedmg,ratedmg,luck,dex,health,mp,speed,attackspeed,exp
101,gunner,1,5,1.2,10,5,50,5,1,1,200
102,gunner,2,7,1.3,12,6,60,6,1.1,1.2,400
103,gunner,3,10,1.3,14,7,70,7,1.2,1.4,800
104,gunner,4,13,1.4,16,8,80,8,1.3,1.6,1600
105,gunner,5,16,1.4,18,9,90,9,1.4,1.8,3200
106,gunner,6,30,1.5,20,10,150,15,1.7,2.5,6400
107,gunner,7,35,1.5,22,11,200,17,1.9,2.8,12800
108,gunner,8,40,1.6,24,12,250,19,2.1,3.1,25600
109,gunner,9,45,1.6,26,13,300,21,2.3,3.4,51200
110,gunner,10,50,1.7,30,14,350,13,2.5,3.7,102400
